seed,model,year,regime_distance,auc,baseline,delta,in_sample,n_year
0,LogReg,2011,0.5705473621595012,0.7074926787457442,0.7382989505599692,-0.030806271814225017,True,4655
0,LogReg,2012,0.5452945274104659,0.7560534684227621,0.7382989505599692,0.017754517862792918,True,4687
0,LogReg,2013,0.548088731333508,0.7697269338654719,0.7382989505599692,0.03142798330550267,True,4660
0,LogReg,2014,0.5060670174774538,0.7397361755006452,0.7382989505599692,0.0014372249406759963,True,4648
0,LogReg,2015,0.5330863850936844,0.7241175043179126,0.7382989505599692,-0.014181446242056639,True,4623
0,LogReg,2016,0.5203121305523835,0.7413871843830012,0.7382989505599692,0.003088233823032027,True,4578
0,LogReg,2017,0.5020281385281385,0.7509306886726123,0.7382989505599692,0.012631738112643065,True,4531
0,LogReg,2018,0.5150243289049259,0.7220871942883185,0.7382989505599692,-0.016211756271650724,True,4507
0,LogReg,2019,0.5755846934671741,0.7216202603745026,0.7382989505599692,-0.016678690185466638,False,4462
0,LogReg,2020,0.7243554977040171,0.7245012577854905,0.7382989505599692,-0.013797692774478731,False,4435
0,LogReg,2021,0.6423114925072732,0.616079933582883,0.7382989505599692,-0.12221901697708615,False,4408
0,LogReg,2022,0.6067651888341543,0.6527130681818181,0.7382989505599692,-0.08558588237815112,False,4391
0,LogReg,2023,0.6112776315294104,0.7074516584203294,0.7382989505599692,-0.03084729213963977,False,4380
0,RF,2011,0.585187274368231,0.7188471703054689,0.7424023278334186,-0.023555157527949788,True,4655
0,RF,2012,0.5278608786029221,0.755013608816398,0.7424023278334186,0.012611280982979367,True,4687
0,RF,2013,0.547312495906471,0.778398501477814,0.7424023278334186,0.035996173644395335,True,4660
0,RF,2014,0.49530355144493454,0.7554557185872006,0.7424023278334186,0.01305339075378198,True,4648
0,RF,2015,0.4988406430012269,0.7282284425539203,0.7424023278334186,-0.014173885279498366,True,4623
0,RF,2016,0.4748168600120238,0.7443095415081598,0.7424023278334186,0.001907213674741115,True,4578
0,RF,2017,0.5072651515151515,0.748007253080709,0.7424023278334186,0.005604925247290393,True,4531
0,RF,2018,0.5196932917828441,0.7167214673180676,0.7424023278334186,-0.02568086051535101,True,4507
0,RF,2019,0.5622026610113807,0.7276641975829524,0.7424023278334186,-0.01473813025046622,False,4462
0,RF,2020,0.7629115142640199,0.731614135625597,0.7424023278334186,-0.010788192207821679,False,4435
0,RF,2021,0.6787316112564726,0.6491952750629943,0.7424023278334186,-0.09320705277042429,False,4408
0,RF,2022,0.6379661798173595,0.6840269886363637,0.7424023278334186,-0.058375339197054954,False,4391
