seed,model,n,tau,year,alarm_rate,n_frame
1,LogReg,50,0.5932539682539683,2023,0.0705,1318
1,LogReg,100,0.6375833333333334,2019,0.089,1330
1,LogReg,100,0.6375833333333334,2020,0.036,1322
1,LogReg,100,0.6375833333333334,2021,0.4915,1320
1,LogReg,100,0.6375833333333334,2022,0.247,1314
1,LogReg,100,0.6375833333333334,2023,0.074,1318
1,LogReg,200,0.664864035733667,2019,0.0785,1330
1,LogReg,200,0.664864035733667,2020,0.021,1322
1,LogReg,200,0.664864035733667,2021,0.7185,1320
1,LogReg,200,0.664864035733667,2022,0.3945,1314
1,LogReg,200,0.664864035733667,2023,0.085,1318
1,LogReg,400,0.6824935755240865,2019,0.0815,1330
1,LogReg,400,0.6824935755240865,2020,0.012,1322
1,LogReg,400,0.6824935755240865,2021,0.9095,1320
1,LogReg,400,0.6824935755240865,2022,0.595,1314
1,LogReg,400,0.6824935755240865,2023,0.12,1318
1,LogReg,800,0.6977358098255274,2019,0.1125,1330
1,LogReg,800,0.6977358098255274,2020,0.006,1322
1,LogReg,800,0.6977358098255274,2021,0.995,1320
1,LogReg,800,0.6977358098255274,2022,0.8905,1314
1,LogReg,800,0.6977358098255274,2023,0.1825,1318
1,RF,25,0.5323147440794499,2019,0.052,1330
1,RF,25,0.5323147440794499,2020,0.0761904761904762,1322
1,RF,25,0.5323147440794499,2021,0.2045,1320
1,RF,25,0.5323147440794499,2022,0.119,1314
1,RF,25,0.5323147440794499,2023,0.0835,1318
1,RF,50,0.6024955436720143,2019,0.0605,1330
1,RF,50,0.6024955436720143,2020,0.075,1322
1,RF,50,0.6024955436720143,2021,0.3045,1320
1,RF,50,0.6024955436720143,2022,0.174,1314
1,RF,50,0.6024955436720143,2023,0.104,1318
1,RF,100,0.6389942550378799,2019,0.054,1330
1,RF,100,0.6389942550378799,2020,0.0545,1322
1,RF,100,0.6389942550378799,2021,0.437,1320
1,RF,100,0.6389942550378799,2022,0.2265,1314
1,RF,100,0.6389942550378799,2023,0.117,1318
1,RF,200,0.6674880329264657,2019,0.05,1330
1,RF,200,0.6674880329264657,2020,0.04,1322
1,RF,200,0.6674880329264657,2021,0.66,1320
1,RF,200,0.6674880329264657,2022,0.3755,1314
1,RF,200,0.6674880329264657,2023,0.143,1318
1,RF,400,0.6850602485709018,2019,0.037,1330
1,RF,400,0.6850602485709018,2020,0.024,1322
1,RF,400,0.6850602485709018,2021,0.861,1320
1,RF,400,0.6850602485709018,2022,0.58,1314
1,RF,400,0.6850602485709018,2023,0.1965,1318
1,RF,800,0.6991941033433194,2019,0.0345,1330
1,RF,800,0.6991941033433194,2020,0.0145,1322
1,RF,800,0.6991941033433194,2021,0.9895,1320
1,RF,800,0.6991941033433194,2022,0.8765,1314
1,RF,800,0.6991941033433194,2023,0.307,1318
1,GBM,25,0.5499305555555556,2019,0.0575,1330
1,GBM,25,0.5499305555555556,2020,0.07568922305764411,1322
1,GBM,25,0.5499305555555556,2021,0.2445,1320
1,GBM,25,0.5499305555555556,2022,0.116,1314
1,GBM,25,0.5499305555555556,2023,0.082,1318
1,GBM,50,0.6051507936507936,2019,0.0505,1330
1,GBM,50,0.6051507936507936,2020,0.055,1322
1,GBM,50,0.6051507936507936,2021,0.3235,1320
1,GBM,50,0.6051507936507936,2022,0.159,1314
1,GBM,50,0.6051507936507936,2023,0.0825,1318
1,GBM,100,0.652479407979408,2019,0.0715,1330
1,GBM,100,0.652479407979408,2020,0.0465,1322
1,GBM,100,0.652479407979408,2021,0.545,1320
1,GBM,100,0.652479407979408,2022,0.2345,1314
1,GBM,100,0.652479407979408,2023,0.1065,1318
1,GBM,200,0.6767987710475982,2019,0.052,1330
1,GBM,200,0.6767987710475982,2020,0.0355,1322
1,GBM,200,0.6767987710475982,2021,0.751,1320
