year,regime_distance,delta,in_sample
2011,0.5739935212527617,-0.018172594303332578,True
2012,0.5360847229720952,0.011571269993146156,True
2013,0.545463366788459,0.02283870801719281,True
2014,0.49821596478392766,0.00524027394884415,True
2015,0.5204979038592291,-0.0148777086331599,True
2016,0.4976819068145201,0.006295567451997108,True
2017,0.5157809843925958,0.003449519203035615,True
2018,0.5369968562896313,-0.00918239587771185,True
2019,0.5779994879534133,-0.009322712135980312,False
2020,0.765303424386751,0.004178079020013207,False
2021,0.6844019283172044,-0.07990827440436986,False
2022,0.62853598140034,-0.060848119354969005,False
2023,0.6293944507685544,-0.02477421228740798,False
