spec,panel,outcome,seed,model,entity,period,auc,n
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,LogReg,E_unseen,P_unseen,0.6787513507578691,3952
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,RF,E_seen,P_seen,0.7690708562703983,5182
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,RF,E_unseen,P_seen,0.7285945683689349,10978
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,RF,E_seen,P_unseen,0.6880302086199789,9227
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,RF,E_unseen,P_unseen,0.6772338790298813,3952
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,GBM,E_seen,P_seen,0.746117682901206,5182
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,GBM,E_unseen,P_seen,0.7379937031207523,10978
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,GBM,E_seen,P_unseen,0.6879757789115324,9227
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,1,GBM,E_unseen,P_unseen,0.6847498714251867,3952
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,LogReg,E_seen,P_seen,0.7359259976363544,5160
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,LogReg,E_unseen,P_seen,0.7273284253003933,11086
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,LogReg,E_seen,P_unseen,0.6674528925056307,9238
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,LogReg,E_unseen,P_unseen,0.6928868616356324,3941
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,RF,E_seen,P_seen,0.7782260554069751,5160
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,RF,E_unseen,P_seen,0.7320165291762799,11086
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,RF,E_seen,P_unseen,0.6805751237483991,9238
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,RF,E_unseen,P_unseen,0.6888559344065142,3941
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,GBM,E_seen,P_seen,0.7537419288601067,5160
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,GBM,E_unseen,P_seen,0.7414458329617174,11086
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,GBM,E_seen,P_unseen,0.6814206401462608,9238
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,2,GBM,E_unseen,P_unseen,0.7024545563465134,3941
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,LogReg,E_seen,P_seen,0.7350316675357567,5140
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,LogReg,E_unseen,P_seen,0.7365775644195575,11185
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,LogReg,E_seen,P_unseen,0.6692105520534753,9165
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,LogReg,E_unseen,P_unseen,0.6793025224873168,4014
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,RF,E_seen,P_seen,0.7813713485374963,5140
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,RF,E_unseen,P_seen,0.7411923868341883,11185
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,RF,E_seen,P_unseen,0.6955319608748524,9165
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,RF,E_unseen,P_unseen,0.6826347056451445,4014
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,GBM,E_seen,P_seen,0.7527020017390934,5140
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,GBM,E_unseen,P_seen,0.7508239592939816,11185
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,GBM,E_seen,P_unseen,0.6898521818864811,9165
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,3,GBM,E_unseen,P_unseen,0.6972889116152483,4014
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,LogReg,E_seen,P_seen,0.7472951961015933,5167
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,LogReg,E_unseen,P_seen,0.7285356878310021,11053
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,LogReg,E_seen,P_unseen,0.6767666704166982,9255
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,LogReg,E_unseen,P_unseen,0.6636002945411086,3924
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,RF,E_seen,P_seen,0.7876390364728729,5167
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,RF,E_unseen,P_seen,0.7326427097321085,11053
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,RF,E_seen,P_unseen,0.6926700661139295,9255
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,RF,E_unseen,P_unseen,0.6795762677971525,3924
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,GBM,E_seen,P_seen,0.7666354665590289,5167
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,GBM,E_unseen,P_seen,0.7418137237426372,11053
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,GBM,E_seen,P_unseen,0.692521538699018,9255
deficit 2011-2018 -> 2021-2023,imbalanced,deficit,4,GBM,E_unseen,P_unseen,0.6785996593486219,3924
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,LogReg,E_seen,P_seen,0.6235975082227493,3890
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,LogReg,E_unseen,P_seen,0.6430638200916453,8399
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,LogReg,E_seen,P_unseen,0.6638500154543767,12549
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,LogReg,E_unseen,P_unseen,0.6400938000457561,5386
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,RF,E_seen,P_seen,0.8520386830498645,3890
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,RF,E_unseen,P_seen,0.7003315191974462,8399
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,RF,E_seen,P_unseen,0.7995144659930463,12549
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,RF,E_unseen,P_unseen,0.7141996492030809,5386
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,GBM,E_seen,P_seen,0.7851336674457484,3890
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,GBM,E_unseen,P_seen,0.7183822826915616,8399
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,GBM,E_seen,P_unseen,0.7655616687268499,12549
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,0,GBM,E_unseen,P_unseen,0.7269166730216834,5386
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,LogReg,E_seen,P_seen,0.6677527126358581,3913
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,LogReg,E_unseen,P_seen,0.6502347238542892,8285
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,LogReg,E_seen,P_unseen,0.6501119172950159,12590
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,LogReg,E_unseen,P_unseen,0.6860215771676336,5345
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,RF,E_seen,P_seen,0.8543920190495653,3913
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,RF,E_unseen,P_seen,0.7198710340775558,8285
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,RF,E_seen,P_unseen,0.798984801062266,12590
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,RF,E_unseen,P_unseen,0.7068571196667466,5345
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,GBM,E_seen,P_seen,0.7984219566676712,3913
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,GBM,E_unseen,P_seen,0.7443881462984724,8285
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,GBM,E_seen,P_unseen,0.7681147745056196,12590
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,1,GBM,E_unseen,P_unseen,0.7482388857687832,5345
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,LogReg,E_seen,P_seen,0.6318455798795286,3894
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,LogReg,E_unseen,P_seen,0.6432015025766761,8378
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,LogReg,E_seen,P_unseen,0.666394064395183,12577
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,LogReg,E_unseen,P_unseen,0.651051028163617,5358
