spec,panel,outcome,seed,model,entity,period,auc,n
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,3,GBM,E_unseen,P_unseen,0.7576681720007854,5218
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,LogReg,E_seen,P_seen,0.7201236374159942,3769
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,LogReg,E_unseen,P_seen,0.7365372389545342,8121
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,LogReg,E_seen,P_unseen,0.6919082976466915,12138
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,LogReg,E_unseen,P_unseen,0.6825126483234325,5193
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,RF,E_seen,P_seen,0.8601321585903083,3769
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,RF,E_unseen,P_seen,0.7702770898718767,8121
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,RF,E_seen,P_unseen,0.7885708145984132,12138
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,RF,E_unseen,P_unseen,0.743001261034048,5193
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,GBM,E_seen,P_seen,0.8038230730891669,3769
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,GBM,E_unseen,P_seen,0.7864404079277696,8121
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,GBM,E_seen,P_unseen,0.7520908004778972,12138
exit 2011-2016 -> 2017-2020,imbalanced,exit_soon,4,GBM,E_unseen,P_unseen,0.7315425636974127,5193
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,LogReg,E_seen,P_seen,0.7239027178391981,4990
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,LogReg,E_unseen,P_seen,0.7094831356808713,10756
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,LogReg,E_seen,P_unseen,0.7489049921305141,15074
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,LogReg,E_unseen,P_unseen,0.7685886535786056,6492
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,RF,E_seen,P_seen,0.8544888211472171,4990
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,RF,E_unseen,P_seen,0.7750065395802335,10756
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,RF,E_seen,P_unseen,0.8520568060061826,15074
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,RF,E_unseen,P_unseen,0.7998951521302265,6492
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,GBM,E_seen,P_seen,0.815158466773596,4990
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,GBM,E_unseen,P_seen,0.78879069869655,10756
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,GBM,E_seen,P_unseen,0.8284288788149421,15074
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,0,GBM,E_unseen,P_unseen,0.8079200467782803,6492
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,LogReg,E_seen,P_seen,0.7050596015420136,5009
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,LogReg,E_unseen,P_seen,0.7426076077867398,10660
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,LogReg,E_seen,P_unseen,0.7355114600786271,15031
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,LogReg,E_unseen,P_unseen,0.8541922290388547,6535
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,RF,E_seen,P_seen,0.8419603213573061,5009
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,RF,E_unseen,P_seen,0.7897879296638174,10660
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,RF,E_seen,P_unseen,0.8561521951005837,15031
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,RF,E_unseen,P_unseen,0.8273824130879346,6535
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,GBM,E_seen,P_seen,0.8026347955996197,5009
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,GBM,E_unseen,P_seen,0.8027853516537983,10660
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,GBM,E_seen,P_unseen,0.8164180820657709,15031
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,1,GBM,E_unseen,P_unseen,0.8509151329243354,6535
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,LogReg,E_seen,P_seen,0.7356092018474524,4981
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,LogReg,E_unseen,P_seen,0.7043765185520734,10799
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,LogReg,E_seen,P_unseen,0.7473782384146364,15068
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,LogReg,E_unseen,P_unseen,0.8071014857718458,6498
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,RF,E_seen,P_seen,0.8619612212073366,4981
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,RF,E_unseen,P_seen,0.7631006063422775,10799
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,RF,E_seen,P_unseen,0.8719815994586426,15068
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,RF,E_unseen,P_unseen,0.8014272832877068,6498
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,GBM,E_seen,P_seen,0.8177399204159228,4981
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,GBM,E_unseen,P_seen,0.7748685882539813,10799
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,GBM,E_seen,P_unseen,0.8419375498903143,15068
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,2,GBM,E_unseen,P_unseen,0.7902454082420126,6498
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,LogReg,E_seen,P_seen,0.6969346877627024,4989
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,LogReg,E_unseen,P_seen,0.701275471391912,10758
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,LogReg,E_seen,P_unseen,0.7808119357619199,15055
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,LogReg,E_unseen,P_unseen,0.7271648809967124,6511
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,RF,E_seen,P_seen,0.8226279874701194,4989
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,RF,E_unseen,P_seen,0.7739238368613768,10758
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,RF,E_seen,P_unseen,0.8611563194664974,15055
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,RF,E_unseen,P_unseen,0.8238144889295556,6511
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,GBM,E_seen,P_seen,0.7801635271519882,4989
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,GBM,E_unseen,P_seen,0.7747953667170431,10758
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,GBM,E_seen,P_unseen,0.8273084142358118,15055
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,3,GBM,E_unseen,P_unseen,0.8224685867495132,6511
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,LogReg,E_seen,P_seen,0.7169111476620456,4991
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,LogReg,E_unseen,P_seen,0.7292963647445927,10750
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,LogReg,E_seen,P_unseen,0.7464730942373639,15152
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,LogReg,E_unseen,P_unseen,0.7714133667240569,6414
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,RF,E_seen,P_seen,0.8615040336566971,4991
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,RF,E_unseen,P_seen,0.7615880381141218,10750
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,RF,E_seen,P_unseen,0.8507591368445929,15152
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,RF,E_unseen,P_unseen,0.8681295977461262,6414
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,GBM,E_seen,P_seen,0.8082474572857574,4991
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,GBM,E_unseen,P_seen,0.7904900415618155,10750
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,GBM,E_seen,P_unseen,0.8417342832769159,15152
exit 2011-2018 -> 2019-2023,imbalanced,exit_soon,4,GBM,E_unseen,P_unseen,0.8637439348880889,6414
