panel,spec,outcome,E,p_E,T,p_T,T_gt_E_models
imbalanced,deficit 2011-2018 -> 2019-2023,deficit,0.013787511994923559,0.0013701857741856508,0.04530224444861299,8.144438982489361e-13,3/3
imbalanced,deficit 2011-2016 -> 2017-2020,deficit,0.016982812661574132,0.00011731567783355508,0.006476380278190012,8.216810294643133e-05,0/3
imbalanced,deficit 2011-2018 -> 2021-2023,deficit,0.011745443992885529,0.006037518087865352,0.06417496236030677,4.1647328549726373e-14,3/3
imbalanced,exit    2011-2016 -> 2017-2020,is_exiter,0.049574119669305534,0.004253527067743605,0.007964238301606526,0.15900908524388918,0/3
balanced,deficit 2011-2018 -> 2019-2023,deficit,0.014955748292217401,0.00870881488098346,0.04421435494390304,1.7295044262884503e-11,3/3
balanced,deficit 2011-2016 -> 2017-2020,deficit,0.016949534604863488,0.0017096168757837135,0.0010906631126438452,0.3820032925593274,0/3
balanced,deficit 2011-2018 -> 2021-2023,deficit,0.016130842448192406,0.00243877647456458,0.06187656332987071,8.104642134447843e-13,3/3
